Action|Time|Value
-|1|-
KEY_DOWN | 0.238497 | W
KEY_DOWN | 0.566896 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.184674 | L
KEY_UP |0.0| L
KEY_DOWN | 0.312035 | C
KEY_UP |0.0| C
KEY_DOWN | 0.253338 | O
KEY_UP |0.0| O
KEY_DOWN | 0.224349 | M
KEY_UP |0.0| M
KEY_DOWN | 1.310584 | E
KEY_UP |0.0| E
KEY_DOWN | 0.119644 | D4
KEY_DOWN | 0.934942 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|1|-
-|2|-
KEY_DOWN | 1.292846 | W
KEY_DOWN | 0.190719 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.224831 | L
KEY_UP |0.0| L
KEY_DOWN | 0.335754 | C
KEY_UP |0.0| C
KEY_DOWN | 0.222367 | O
KEY_UP |0.0| O
KEY_DOWN | 0.175791 | M
KEY_UP |0.0| M
KEY_DOWN | 0.208102 | E
KEY_UP |0.0| E
KEY_DOWN | 0.645675 | D4
KEY_DOWN | 0.632262 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|2|-
-|3|-
KEY_DOWN | 2.662381 | W
KEY_DOWN | 2.923437 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.276675 | L
KEY_UP |0.0| L
KEY_DOWN | 0.272099 | C
KEY_UP |0.0| C
KEY_DOWN | 0.152228 | O
KEY_UP |0.0| O
KEY_DOWN | 0.183175 | M
KEY_UP |0.0| M
KEY_DOWN | 0.318849 | E
KEY_UP |0.0| E
KEY_DOWN | 0.151397 | D4
KEY_DOWN | 0.567910 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|3|-
-|4|-
KEY_DOWN | 0.192547 | W
KEY_DOWN | 1.869774 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.908369 | L
KEY_UP |0.0| L
KEY_DOWN | 0.128054 | C
KEY_UP |0.0| C
KEY_DOWN | 0.302012 | O
KEY_UP |0.0| O
KEY_DOWN | 0.335506 | M
KEY_UP |0.0| M
KEY_DOWN | 0.175912 | E
KEY_UP |0.0| E
KEY_DOWN | 0.183452 | D4
KEY_DOWN | 0.166735 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|4|-
-|5|-
KEY_DOWN | 0.599059 | W
KEY_DOWN | 0.192211 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 2.373302 | L
KEY_UP |0.0| L
KEY_DOWN | 0.954590 | C
KEY_UP |0.0| C
KEY_DOWN | 0.174815 | O
KEY_UP |0.0| O
KEY_DOWN | 0.304160 | M
KEY_UP |0.0| M
KEY_DOWN | 0.182595 | E
KEY_UP |0.0| E
KEY_DOWN | 0.240282 | D4
KEY_DOWN | 0.503725 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|5|-
-|6|-
KEY_DOWN | 0.134305 | W
KEY_DOWN | 1.207928 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.200448 | L
KEY_UP |0.0| L
KEY_DOWN | 1.053696 | C
KEY_UP |0.0| C
KEY_DOWN | 1.150184 | O
KEY_UP |0.0| O
KEY_DOWN | 0.207539 | M
KEY_UP |0.0| M
KEY_DOWN | 0.311628 | E
KEY_UP |0.0| E
KEY_DOWN | 0.248237 | D4
KEY_DOWN | 0.278968 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|6|-
-|7|-
KEY_DOWN | 0.240015 | W
KEY_DOWN | 0.214901 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.631704 | L
KEY_UP |0.0| L
KEY_DOWN | 0.151889 | C
KEY_UP |0.0| C
KEY_DOWN | 1.942646 | O
KEY_UP |0.0| O
KEY_DOWN | 1.304343 | M
KEY_UP |0.0| M
KEY_DOWN | 0.205896 | E
KEY_UP |0.0| E
KEY_DOWN | 0.224164 | D4
KEY_DOWN | 0.198711 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|7|-
-|8|-
KEY_DOWN | 0.207569 | W
KEY_DOWN | 0.224113 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.158914 | L
KEY_UP |0.0| L
KEY_DOWN | 0.591682 | C
KEY_UP |0.0| C
KEY_DOWN | 0.168013 | O
KEY_UP |0.0| O
KEY_DOWN | 1.231532 | M
KEY_UP |0.0| M
KEY_DOWN | 1.638122 | E
KEY_UP |0.0| E
KEY_DOWN | 0.213568 | D4
KEY_DOWN | 0.265339 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|8|-
-|9|-
KEY_DOWN | 0.213317 | W
KEY_DOWN | 0.176633 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.231227 | L
KEY_UP |0.0| L
KEY_DOWN | 0.198405 | C
KEY_UP |0.0| C
KEY_DOWN | 1.448401 | O
KEY_UP |0.0| O
KEY_DOWN | 0.168517 | M
KEY_UP |0.0| M
KEY_DOWN | 0.868490 | E
KEY_UP |0.0| E
KEY_DOWN | 3.649705 | D4
KEY_DOWN | 0.143074 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|9|-
-|10|-
KEY_DOWN | 0.207945 | W
KEY_DOWN | 0.192226 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.158474 | L
KEY_UP |0.0| L
KEY_DOWN | 0.192090 | C
KEY_UP |0.0| C
KEY_DOWN | 0.182028 | O
KEY_UP |0.0| O
KEY_DOWN | 0.488211 | M
KEY_UP |0.0| M
KEY_DOWN | 0.191158 | E
KEY_UP |0.0| E
KEY_DOWN | 1.286572 | D4
KEY_DOWN | 0.881906 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|10|-
-|11|-
KEY_DOWN | 0.176022 | W
KEY_DOWN | 0.207145 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.207648 | L
KEY_UP |0.0| L
KEY_DOWN | 0.768713 | C
KEY_UP |0.0| C
KEY_DOWN | 0.184147 | O
KEY_UP |0.0| O
KEY_DOWN | 0.245826 | M
KEY_UP |0.0| M
KEY_DOWN | 0.535563 | E
KEY_UP |0.0| E
KEY_DOWN | 0.167914 | D4
KEY_DOWN | 1.470305 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|11|-
-|12|-
KEY_DOWN | 0.151708 | W
KEY_DOWN | 0.224583 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.165179 | L
KEY_UP |0.0| L
KEY_DOWN | 0.192771 | C
KEY_UP |0.0| C
KEY_DOWN | 0.229980 | O
KEY_UP |0.0| O
