Action|Time|Value
KEY_DOWN | 0.176040 | M
KEY_UP |0.0| M
KEY_DOWN | 0.495411 | E
KEY_UP |0.0| E
KEY_DOWN | 0.193218 | D4
KEY_DOWN | 0.556834 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|12|-
-|13|-
KEY_DOWN | 0.836829 | W
KEY_DOWN | 0.246584 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.192419 | L
KEY_UP |0.0| L
KEY_DOWN | 0.191527 | C
KEY_UP |0.0| C
KEY_DOWN | 0.213405 | O
KEY_UP |0.0| O
KEY_DOWN | 0.272298 | M
KEY_UP |0.0| M
KEY_DOWN | 0.191028 | E
KEY_UP |0.0| E
KEY_DOWN | 1.383550 | D4
KEY_DOWN | 0.136053 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|13|-
-|14|-
KEY_DOWN | 1.766990 | W
KEY_DOWN | 0.581202 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.191132 | L
KEY_UP |0.0| L
KEY_DOWN | 0.174619 | C
KEY_UP |0.0| C
KEY_DOWN | 0.199461 | O
KEY_UP |0.0| O
KEY_DOWN | 0.223652 | M
KEY_UP |0.0| M
KEY_DOWN | 0.184799 | E
KEY_UP |0.0| E
KEY_DOWN | 0.174274 | D4
KEY_DOWN | 0.551599 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|14|-
-|15|-
KEY_DOWN | 0.152258 | W
KEY_DOWN | 1.582174 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.553065 | L
KEY_UP |0.0| L
KEY_DOWN | 0.191391 | C
KEY_UP |0.0| C
KEY_DOWN | 0.183534 | O
KEY_UP |0.0| O
KEY_DOWN | 0.183365 | M
KEY_UP |0.0| M
KEY_DOWN | 0.231234 | E
KEY_UP |0.0| E
KEY_DOWN | 0.223439 | D4
KEY_DOWN | 0.191428 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|15|-
-|16|-
KEY_DOWN | 0.807662 | W
KEY_DOWN | 0.200336 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 2.407365 | L
KEY_UP |0.0| L
KEY_DOWN | 0.732929 | C
KEY_UP |0.0| C
KEY_DOWN | 0.177142 | O
KEY_UP |0.0| O
KEY_DOWN | 0.366686 | M
KEY_UP |0.0| M
KEY_DOWN | 0.141978 | E
KEY_UP |0.0| E
KEY_DOWN | 0.191210 | D4
KEY_DOWN | 0.208147 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|16|-
-|17|-
KEY_DOWN | 0.191601 | W
KEY_DOWN | 0.872076 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.159443 | L
KEY_UP |0.0| L
KEY_DOWN | 1.334458 | C
KEY_UP |0.0| C
KEY_DOWN | 0.528185 | O
KEY_UP |0.0| O
KEY_DOWN | 0.180404 | M
KEY_UP |0.0| M
KEY_DOWN | 0.211894 | E
KEY_UP |0.0| E
KEY_DOWN | 0.208028 | D4
KEY_DOWN | 0.238263 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|17|-
-|18|-
KEY_DOWN | 0.247829 | W
KEY_DOWN | 0.198768 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.607033 | L
KEY_UP |0.0| L
KEY_DOWN | 0.175406 | C
KEY_UP |0.0| C
KEY_DOWN | 1.855043 | O
KEY_UP |0.0| O
KEY_DOWN | 0.614748 | M
KEY_UP |0.0| M
KEY_DOWN | 0.184421 | E
KEY_UP |0.0| E
KEY_DOWN | 0.214978 | D4
KEY_DOWN | 0.192788 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|18|-
-|19|-
KEY_DOWN | 0.189614 | W
KEY_DOWN | 0.223721 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.183495 | L
KEY_UP |0.0| L
KEY_DOWN | 0.703532 | C
KEY_UP |0.0| C
KEY_DOWN | 0.176684 | O
KEY_UP |0.0| O
KEY_DOWN | 1.181603 | M
KEY_UP |0.0| M
KEY_DOWN | 1.061466 | E
KEY_UP |0.0| E
KEY_DOWN | 0.304239 | D4
KEY_DOWN | 0.360052 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|19|-
-|20|-
KEY_DOWN | 0.230767 | W
KEY_DOWN | 0.214987 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.224024 | L
KEY_UP |0.0| L
KEY_DOWN | 0.128483 | C
KEY_UP |0.0| C
KEY_DOWN | 0.662641 | O
KEY_UP |0.0| O
KEY_DOWN | 0.222995 | M
KEY_UP |0.0| M
KEY_DOWN | 2.062989 | E
KEY_UP |0.0| E
KEY_DOWN | 1.886247 | D4
KEY_DOWN | 0.167687 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|20|-
-|21|-
KEY_DOWN | 0.240187 | W
KEY_DOWN | 0.190821 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.240165 | L
KEY_UP |0.0| L
KEY_DOWN | 0.198975 | C
KEY_UP |0.0| C
KEY_DOWN | 0.207584 | O
KEY_UP |0.0| O
KEY_DOWN | 0.616142 | M
KEY_UP |0.0| M
KEY_DOWN | 0.160059 | E
KEY_UP |0.0| E
KEY_DOWN | 1.270449 | D4
KEY_DOWN | 0.536524 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|21|-
-|22|-
KEY_DOWN | 0.209496 | W
KEY_DOWN | 0.166537 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.207247 | L
KEY_UP |0.0| L
KEY_DOWN | 0.286779 | C
KEY_UP |0.0| C
KEY_DOWN | 0.384639 | O
KEY_UP |0.0| O
KEY_DOWN | 0.190412 | M
KEY_UP |0.0| M
KEY_DOWN | 0.863488 | E
KEY_UP |0.0| E
KEY_DOWN | 0.815597 | D4
KEY_DOWN | 1.287061 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|22|-
-|23|-
KEY_DOWN | 0.157407 | W
KEY_DOWN | 0.335646 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.168041 | L
KEY_UP |0.0| L
KEY_DOWN | 0.216099 | C
KEY_UP |0.0| C
KEY_DOWN | 0.222988 | O
KEY_UP |0.0| O
KEY_DOWN | 0.255017 | M
KEY_UP |0.0| M
KEY_DOWN | 0.488758 | E
KEY_UP |0.0| E
KEY_DOWN | 0.167313 | D4
KEY_DOWN | 0.493850 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|23|-
-|24|-
KEY_DOWN | 0.752421 | W
KEY_DOWN | 0.351609 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.278285 | L
KEY_UP |0.0| L
KEY_DOWN | 0.175555 | C
KEY_UP |0.0| C
KEY_DOWN | 0.168215 | O
KEY_UP |0.0| O
KEY_DOWN | 0.255252 | M
KEY_UP |0.0| M
KEY_DOWN | 0.256494 | E
KEY_UP |0.0| E
KEY_DOWN | 0.926102 | D4
KEY_DOWN | 0.303974 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|24|-
-|25|-
KEY_DOWN | 1.431485 | W
KEY_DOWN | 0.542927 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.216506 | L
KEY_UP |0.0| L
KEY_DOWN | 0.199274 | C
KEY_UP |0.0| C
KEY_DOWN | 0.174531 | O
KEY_UP |0.0| O
KEY_DOWN | 0.264360 | M
KEY_UP |0.0| M
KEY_DOWN | 0.223791 | E
KEY_UP |0.0| E
KEY_DOWN | 0.213752 | D4
KEY_DOWN | 1.111775 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|25|-
-|26|-
KEY_DOWN | 0.768727 | W
KEY_DOWN | 1.334681 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.413399 | L
KEY_UP |0.0| L
KEY_DOWN | 0.207230 | C
KEY_UP |0.0| C
KEY_DOWN | 0.191363 | O
KEY_UP |0.0| O
KEY_DOWN | 0.182304 | M
KEY_UP |0.0| M
KEY_DOWN | 0.215496 | E
KEY_UP |0.0| E
KEY_DOWN | 0.217306 | D4
KEY_DOWN | 0.198036 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|26|-
-|27|-
KEY_DOWN | 0.695971 | W
KEY_DOWN | 0.223210 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 1.879137 | L
KEY_UP |0.0| L
KEY_DOWN | 0.417953 | C
KEY_UP |0.0| C
KEY_DOWN | 0.189000 | O
KEY_UP |0.0| O
KEY_DOWN | 0.216228 | M
KEY_UP |0.0| M
KEY_DOWN | 0.151299 | E
KEY_UP |0.0| E
KEY_DOWN | 0.208086 | D4
KEY_DOWN | 0.215701 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|27|-
