Action|Time|Value
KEY_DOWN | 0.436852 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|11|-
-|12|-
KEY_DOWN | 0.026791 | W
KEY_DOWN | 0.034835 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.079046 | L
KEY_UP |0.0| L
KEY_DOWN | 0.051343 | C
KEY_UP |0.0| C
KEY_DOWN | 0.038606 | O
KEY_UP |0.0| O
KEY_DOWN | 0.007183 | M
KEY_UP |0.0| M
KEY_DOWN | 0.463030 | E
KEY_UP |0.0| E
KEY_DOWN | 0.009709 | D4
KEY_DOWN | 0.095890 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|12|-
-|13|-
KEY_DOWN | 0.333774 | W
KEY_DOWN | 0.010494 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.062625 | L
KEY_UP |0.0| L
KEY_DOWN | 0.054289 | C
KEY_UP |0.0| C
KEY_DOWN | 0.070901 | O
KEY_UP |0.0| O
KEY_DOWN | 0.026731 | M
KEY_UP |0.0| M
KEY_DOWN | 0.015440 | E
KEY_UP |0.0| E
KEY_DOWN | 0.735228 | D4
KEY_DOWN | 0.031453 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|13|-
-|14|-
KEY_DOWN | 0.070555 | W
KEY_DOWN | 0.306993 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.023194 | L
KEY_UP |0.0| L
KEY_DOWN | 0.071139 | C
KEY_UP |0.0| C
KEY_DOWN | 0.075381 | O
KEY_UP |0.0| O
KEY_DOWN | 0.087655 | M
KEY_UP |0.0| M
KEY_DOWN | 0.023133 | E
KEY_UP |0.0| E
KEY_DOWN | 0.010830 | D4
KEY_DOWN | 0.279272 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|14|-
-|15|-
KEY_DOWN | 0.075081 | W
KEY_DOWN | 0.155751 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.273337 | L
KEY_UP |0.0| L
KEY_DOWN | 0.031527 | C
KEY_UP |0.0| C
KEY_DOWN | 0.046887 | O
KEY_UP |0.0| O
KEY_DOWN | 0.082507 | M
KEY_UP |0.0| M
KEY_DOWN | 0.055568 | E
KEY_UP |0.0| E
KEY_DOWN | 0.030499 | D4
KEY_DOWN | 0.023009 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|15|-
-|16|-
KEY_DOWN | 0.451138 | W
KEY_DOWN | 0.026300 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.071391 | L
KEY_UP |0.0| L
KEY_DOWN | 0.287569 | C
KEY_UP |0.0| C
KEY_DOWN | 0.032532 | O
KEY_UP |0.0| O
KEY_DOWN | 0.028711 | M
KEY_UP |0.0| M
KEY_DOWN | 0.072547 | E
KEY_UP |0.0| E
KEY_DOWN | 0.058311 | D4
KEY_DOWN |0.021051| D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|16|-
-|17|-
KEY_DOWN | 0.032395 | W
KEY_DOWN | 0.482376 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.031840 | L
KEY_UP |0.0| L
KEY_DOWN | 0.061585 | C
KEY_UP |0.0| C
KEY_DOWN | 0.237429 | O
KEY_UP |0.0| O
KEY_DOWN | 0.036405 | M
KEY_UP |0.0| M
KEY_DOWN | 0.057497 | E
KEY_UP |0.0| E
KEY_DOWN | 0.061652 | D4
KEY_DOWN | 0.064849 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|17|-
-|18|-
KEY_DOWN | 0.020792 | W
KEY_DOWN | 0.027449 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.532558 | L
KEY_UP |0.0| L
KEY_DOWN | 0.021064 | C
KEY_UP |0.0| C
KEY_DOWN | 0.048971 | O
KEY_UP |0.0| O
KEY_DOWN | 0.258833 | M
KEY_UP |0.0| M
KEY_DOWN | 0.035028 | E
KEY_UP |0.0| E
KEY_DOWN | 0.035068 | D4
KEY_DOWN | 0.103623 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|18|-
-|19|-
KEY_DOWN | 0.028281 | W
KEY_DOWN | 0.020462 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.005899 | L
KEY_UP |0.0| L
KEY_DOWN | 0.323861 | C
KEY_UP |0.0| C
KEY_DOWN | 0.016854 | O
KEY_UP |0.0| O
KEY_DOWN | 0.062838 | M
KEY_UP |0.0| M
KEY_DOWN | 0.246942 | E
KEY_UP |0.0| E
KEY_DOWN | 0.032994 | D4
KEY_DOWN | 0.072562 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|19|-
-|20|-
KEY_DOWN | 0.084362 | W
KEY_DOWN | 0.069467 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.301633 | L
KEY_UP |0.0| L
KEY_DOWN | 0.938292 | C
KEY_UP |0.0| C
KEY_DOWN | 0.067072 | O
KEY_UP |0.0| O
KEY_DOWN | 0.036616 | M
KEY_UP |0.0| M
KEY_DOWN | 0.364665 | E
KEY_UP |0.0| E
KEY_DOWN | 0.016616 | D4
KEY_DOWN | 0.028933 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|20|-
-|21|-
KEY_DOWN | 0.394490 | W
KEY_DOWN | 0.038696 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.032387 | L
KEY_UP |0.0| L
KEY_DOWN | 0.073759 | C
KEY_UP |0.0| C
KEY_DOWN | 0.118793 | O
KEY_UP |0.0| O
KEY_DOWN | 0.047282 | M
KEY_UP |0.0| M
KEY_DOWN | 0.043099 | E
KEY_UP |0.0| E
KEY_DOWN | 0.385357 | D4
KEY_DOWN | 0.020145 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|21|-
-|22|-
KEY_DOWN | 0.024537 | W
KEY_DOWN | 0.218545 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.062381 | L
KEY_UP |0.0| L
KEY_DOWN | 0.050845 | C
KEY_UP |0.0| C
KEY_DOWN | 0.062571 | O
KEY_UP |0.0| O
KEY_DOWN | 0.047331 | M
KEY_UP |0.0| M
KEY_DOWN | 0.034550 | E
KEY_UP |0.0| E
KEY_DOWN | 0.005577 | D4
KEY_DOWN | 0.207038 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|22|-
-|23|-
KEY_DOWN | 0.034837 | W
KEY_DOWN | 0.079293 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.153026 | L
KEY_UP |0.0| L
KEY_DOWN | 0.044493 | C
KEY_UP |0.0| C
KEY_DOWN | 0.049554 | O
KEY_UP |0.0| O
KEY_DOWN | 0.081564 | M
KEY_UP |0.0| M
KEY_DOWN | 0.063986 | E
KEY_UP |0.0| E
KEY_DOWN | 0.036495 | D4
KEY_DOWN | 0.021253 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|23|-
-|24|-
KEY_DOWN | 0.458445 | W
KEY_DOWN | 0.092319 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.161481 | L
KEY_UP |0.0| L
KEY_DOWN | 0.658934 | C
KEY_UP |0.0| C
KEY_DOWN | 0.028794 | O
KEY_UP |0.0| O
KEY_DOWN | 0.081144 | M
KEY_UP |0.0| M
KEY_DOWN | 0.040799 | E
KEY_UP |0.0| E
KEY_DOWN | 0.178428 | D4
KEY_DOWN | 0.081312 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|24|-
-|25|-
KEY_DOWN | 0.365444 | W
KEY_DOWN | 0.024854 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.042254 | L
KEY_UP |0.0| L
KEY_DOWN | 0.596976 | C
KEY_UP |0.0| C
KEY_DOWN | 0.029542 | O
KEY_UP |0.0| O
KEY_DOWN | 0.063358 | M
KEY_UP |0.0| M
KEY_DOWN | 0.043723 | E
KEY_UP |0.0| E
KEY_DOWN | 0.062227 | D4
KEY_DOWN | 0.026520 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|25|-
-|26|-
KEY_DOWN | 0.042858 | W
KEY_DOWN | 0.411916 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.033018 | L
KEY_UP |0.0| L
KEY_DOWN | 0.059252 | C
KEY_UP |0.0| C
KEY_DOWN | 0.368643 | O
KEY_UP |0.0| O
KEY_DOWN | 0.037435 | M
KEY_UP |0.0| M
KEY_DOWN | 0.059290 | E
KEY_UP |0.0| E
KEY_DOWN | 0.071173 | D4
KEY_DOWN | 0.059130 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|26|-
-|27|-
KEY_DOWN | 0.038525 | W
KEY_DOWN | 0.027528 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.269887 | L
KEY_UP |0.0| L
KEY_DOWN | 0.029874 | C
KEY_UP |0.0| C
KEY_DOWN | 0.044846 | O
KEY_UP |0.0| O
KEY_DOWN | 0.229405 | M
KEY_UP |0.0| M
KEY_DOWN | 0.036720 | E
KEY_UP |0.0| E
KEY_DOWN | 0.138637 | D4
KEY_DOWN | 0.085008 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|27|-
